iter	Logloss
191	0.6503469078
192	0.6503464852
193	0.6502457938
194	0.650245263
195	0.6502455659
196	0.6502293119
197	0.6501549135
198	0.6499783621
199	0.6499059621
200	0.6498120323
201	0.6497879176
202	0.6497052884
203	0.6496971635
204	0.6496185711
205	0.6495193997
206	0.6495145676
207	0.6494435191
208	0.6493727989
209	0.6493526381
210	0.6492877763
211	0.6492676003
212	0.6491754976
213	0.6490943709
214	0.6490499705
215	0.6489698945
216	0.6489668814
217	0.6489344106
218	0.6488437791
219	0.6487395865
220	0.6485909494
221	0.6485389263
222	0.6485089076
223	0.6484772469
224	0.6484315142
225	0.6483890837
226	0.6483750092
227	0.6483693296
228	0.6482469114
229	0.6481139108
230	0.6480417062
231	0.6479903819
232	0.647987575
233	0.6478858911
234	0.6477690313
235	0.6477357885
236	0.6476730801
237	0.6475421922
238	0.6474317034
239	0.6473426721
240	0.6473299721
241	0.6472581631
242	0.6472058519
243	0.6471250965
244	0.6470331147
245	0.6469681884
246	0.6469489528
247	0.6468709474
248	0.6468109528
249	0.6467646167
250	0.6466952197
251	0.6465834882
252	0.6465140038
253	0.6464785986
254	0.6463982223
255	0.6463375046
256	0.6462389103
257	0.6461345841
258	0.6460590761
259	0.646014608
260	0.6459472495
261	0.645894945
262	0.6458491908
263	0.6457586494
264	0.6457225295
265	0.6456346209
266	0.6456050129
267	0.6455850344
268	0.6455186355
269	0.645439915
270	0.6454227646
271	0.6453519187
272	0.6453128188
273	0.6452845524
274	0.6452071072
275	0.6451372674
276	0.6451183529
277	0.6450536096
278	0.6449937384
279	0.6449712503
280	0.6449558704
281	0.6449222285
282	0.6448751182
283	0.6448487676
284	0.644794018
285	0.6447372214
286	0.6446859606
287	0.6446409439
288	0.6446233034
289	0.6446001177
290	0.6445773611
291	0.6445552415
292	0.644484458
293	0.6444453902
294	0.6444050642
295	0.6443602606
296	0.644320453
297	0.6442852946
298	0.6442708261
299	0.6442572424
300	0.6442381273
301	0.6442262275
302	0.6441957351
303	0.644139408
304	0.6441170257
305	0.6441019649
306	0.6440439427
307	0.6440025991
308	0.6439904021
309	0.643952684
310	0.6439339731
311	0.6438818623
312	0.6438285332
313	0.6438021923
314	0.6437741695
315	0.643725906
316	0.6437118268
317	0.6436821471
318	0.643669311
319	0.6436591542
320	0.6436359611
321	0.64360162
322	0.6435929213
323	0.6435583231
324	0.6435448758
325	0.6435073453
326	0.6434962302
327	0.6434676836
328	0.6434442478
329	0.6434159971
330	0.6433842863
331	0.6433603077
332	0.6433152176
333	0.6432839968
334	0.6432611711
335	0.6432486383
336	0.6432210018
337	0.6431999323
338	0.6431872002
339	0.6431652483
340	0.6431443219
341	0.6431231747
342	0.6431091521
343	0.6430986978
344	0.6430684374
345	0.6430303515
346	0.643008781
347	0.6429976312
348	0.642990649
349	0.6429839043
350	0.6429707741
351	0.6429500034
352	0.6429436077
353	0.6429256873
354	0.6429080911
355	0.6428963804
356	0.6428877515
357	0.6428650036
358	0.6428472022
359	0.6428423846
360	0.6428282129
361	0.6428145322
362	0.6427807903
363	0.6427714806
364	0.6427516088
365	0.6427436969
366	0.6427267699
367	0.6427121972
368	0.6427040463
369	0.6426789493
370	0.6426723804
371	0.6426594643
372	0.6426455319
373	0.6426216378
374	0.6426126024
375	0.6426043391
376	0.6425894544
377	0.6425821508
378	0.6425670461
379	0.6425456721
380	0.6425351612
381	0.6425230189
382	0.6425092522
383	0.6424925857
384	0.6424850999
385	0.6424735768
386	0.6424545468
387	0.6424437125
388	0.6424225439
389	0.6424008084
390	0.642386181
391	0.6423766811
392	0.6423623706
393	0.642351281
394	0.6423324405
395	0.6423265074
396	0.6423195367
397	0.6423135763
398	0.6423005296
399	0.6422961199
400	0.6422791709
401	0.6422536897
402	0.6422422123
403	0.6422329404
404	0.642218935
405	0.6422100525
406	0.6422065439
407	0.6422004447
408	0.6421868093
409	0.64217298
410	0.6421622362
411	0.6421567888
412	0.6421440817
413	0.6421291222
414	0.6421074237
415	0.6421001187
416	0.6420907731
417	0.6420846823
418	0.6420838601
419	0.6420723037
420	0.6420615996
421	0.6420473259
422	0.6420390412
423	0.642016878
424	0.6420031376
425	0.6419949424
426	0.6419857791
427	0.6419766335
428	0.6419679135
429	0.6419599396
430	0.6419478546
431	0.6419390716
432	0.6419361851
433	0.6419269822
434	0.6419239614
435	0.6419210459
436	0.6419139887
437	0.64190777
438	0.6419043777
439	0.6418931104
440	0.6418847407
441	0.6418754126
442	0.6418675883
443	0.6418619765
444	0.6418522354
445	0.6418437234
446	0.6418374217
447	0.6418321712
448	0.641825507
449	0.6418214877
450	0.6418150551
451	0.6418092859
452	0.6417972476
453	0.6417909263
454	0.6417880127
455	0.6417827376
456	0.6417647041
457	0.6417602455
458	0.6417558106
459	0.6417508025
460	0.6417403585
461	0.6417356411
462	0.6417333089
463	0.6417288629
464	0.6417252225
465	0.6417233936
466	0.6417209536
467	0.6417140951
468	0.6417128188
469	0.6417031458
470	0.6416966775
471	0.6416899335
472	0.6416831925
473	0.6416760009
474	0.6416737385
475	0.6416690281
476	0.6416589966
477	0.6416564611
478	0.6416526728
479	0.6416440708
480	0.6416362808
481	0.6416294316
482	0.6416200305
483	0.6416179594
484	0.6416113279
485	0.6416034883
486	0.6415987721
487	0.6415915492
488	0.6415871855
489	0.6415856127
490	0.6415795672
491	0.641573998
492	0.6415713264
493	0.6415658967
494	0.6415643479
495	0.6415612629
496	0.6415522434
497	0.6415450615
498	0.641537
499	0.6415293927
500	0.6415212418
501	0.6415173397
502	0.6415119962
503	0.6415099104
504	0.6415029949
505	0.6414983948
506	0.6414906554
507	0.6414840551
508	0.6414822322
509	0.6414764659
510	0.6414750757
511	0.641467327
512	0.6414623762
513	0.6414621968
514	0.6414550217
515	0.6414488899
516	0.6414459467
517	0.6414419645
518	0.6414335573
519	0.6414293096
520	0.6414289488
521	0.6414265306
522	0.6414249301
523	0.6414218613
524	0.6414197924
525	0.6414139401
526	0.6414077607
527	0.6414025493
528	0.6413976246
529	0.6413886793
530	0.6413885598
531	0.6413867085
532	0.641380711
533	0.6413796566
534	0.6413742711
535	0.6413698456
536	0.6413679491
537	0.6413663104
538	0.6413627876
539	0.6413571049
540	0.6413529391
541	0.6413475827
542	0.6413450289
543	0.6413350251
544	0.6413305642
545	0.6413223469
546	0.6413195793
547	0.6413176284
548	0.6413141986
549	0.6413083644
550	0.6413085003
551	0.6413075471
552	0.6413065657
553	0.641302928
554	0.6413013122
555	0.641300206
556	0.6412938187
557	0.6412939481
558	0.6412896361
559	0.6412858972
560	0.641284967
561	0.6412823976
562	0.6412810203
563	0.6412758265
564	0.641269313
565	0.6412684158
566	0.6412673022
567	0.6412659833
568	0.6412604476
569	0.6412507353
570	0.6412506444
571	0.641245557
572	0.6412419462
573	0.6412395808
574	0.641237367
575	0.6412364271
576	0.6412338289
577	0.6412306296
578	0.6412299418
579	0.6412293521
580	0.6412288095
581	0.6412235736
582	0.6412173113
583	0.6412171554
584	0.6412133241
585	0.6412063968
586	0.6412025045
587	0.6411994158
588	0.6411939191
589	0.6411865638
590	0.6411857813
591	0.6411807375
592	0.6411803176
593	0.6411782876
594	0.6411760386
595	0.6411736879
596	0.6411750767
597	0.6411733319
598	0.6411724157
599	0.6411723291
600	0.6411674411
601	0.6411669077
602	0.6411580903
603	0.6411557706
604	0.6411482903
605	0.6411452702
606	0.6411440332
607	0.6411393164
608	0.6411356322
609	0.6411311778
610	0.6411291238
611	0.6411270652
612	0.6411235536
613	0.6411202643
614	0.6411131825
615	0.6411135144
616	0.6411089832
617	0.6411068714
618	0.6411083262
619	0.6411049228
620	0.641102857
621	0.6410997688
622	0.6410969684
623	0.641095862
624	0.6410910266
625	0.6410843861
626	0.6410828972
627	0.6410813075
628	0.6410799166
629	0.6410739035
630	0.6410738902
631	0.6410695558
632	0.6410664008
633	0.6410660149
634	0.6410602174
635	0.6410515837
636	0.6410495419
637	0.6410455863
638	0.6410394151
639	0.6410396999
640	0.6410337323
641	0.6410318434
642	0.6410297715
643	0.6410222444
644	0.6410207265
645	0.6410195244
646	0.6410175832
647	0.641018951
648	0.6410188555
649	0.6410132767
650	0.6410131914
651	0.6410068473
652	0.6410056989
653	0.641005249
654	0.6410050739
655	0.641002167
656	0.6409998059
657	0.6409941472
658	0.6409925744
659	0.6409919734
660	0.6409855703
661	0.6409835311
662	0.6409783298
663	0.6409737091
664	0.6409729205
665	0.6409715553
666	0.6409683671
667	0.640967699
668	0.6409679747
669	0.6409677648
670	0.6409671493
671	0.640966415
672	0.6409651197
673	0.6409610745
674	0.6409579227
675	0.6409574033
676	0.6409554565
677	0.6409567553
678	0.6409520322
679	0.6409505959
680	0.6409496035
681	0.6409422289
682	0.6409425492
683	0.6409348107
684	0.64093473
685	0.6409337367
686	0.6409288661
687	0.6409221779
688	0.6409197336
689	0.6409162369
690	0.6409134901
691	0.640914356
692	0.6409126648
693	0.6409112313
694	0.6409088317
695	0.6409062737
696	0.640905959
697	0.6409048827
698	0.6409041589
699	0.640901274
700	0.6409013642
701	0.6409000785
702	0.6409015834
703	0.6408972357
704	0.6408970877
705	0.6408951333
706	0.6408905097
707	0.6408895498
708	0.6408866819
709	0.6408862825
710	0.6408810944
711	0.6408800961
712	0.6408818808
713	0.640880045
714	0.6408769711
715	0.6408737956
716	0.6408721314
717	0.6408688986
718	0.6408667756
719	0.6408640737
720	0.6408628442
721	0.6408619686
722	0.6408614051
723	0.6408599029
724	0.6408598395
725	0.6408533979
726	0.6408525284
727	0.640848756
728	0.6408483548
729	0.6408426799
730	0.6408429976
731	0.6408430106
732	0.6408399975
733	0.6408391326
734	0.6408372793
735	0.6408387448
736	0.6408366568
737	0.6408302165
738	0.6408264829
739	0.6408253794
740	0.6408207367
741	0.6408215646
742	0.6408192004
743	0.6408181778
744	0.6408155088
745	0.6408155961
746	0.6408159475
747	0.6408110772
748	0.6408111285
749	0.6408093711
750	0.6408074277
751	0.6408055316
752	0.6408063324
753	0.6408038015
754	0.6408048732
755	0.6408043685
756	0.6408050762
757	0.6408003236
758	0.6407999758
759	0.6408011714
760	0.6407936907
761	0.6407936767
762	0.6407920809
763	0.6407929059
764	0.640793209
765	0.640790489
766	0.6407889205
767	0.6407870705
768	0.6407859009
769	0.6407843654
770	0.6407840694
771	0.6407838956
772	0.6407815505
773	0.6407806982
774	0.6407781761
775	0.6407787033
776	0.6407748666
777	0.6407728314
778	0.6407727677
779	0.6407728217
780	0.6407712502
781	0.6407700096
782	0.6407667649
783	0.6407658113
784	0.6407662494
785	0.6407653908
786	0.6407618305
787	0.6407608021
788	0.6407604221
789	0.6407602623
790	0.6407588107
791	0.6407544444
792	0.6407540728
793	0.6407509066
794	0.640747662
795	0.6407461326
796	0.6407461415
797	0.6407452029
798	0.6407449778
799	0.6407439493
